Gender,University_Ranking,Updated_University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Job_Offers,Current_Job_Level,Job_Status
Female,742,9.5,Mathematics,2,4,5,9,0,Entry,Yes
Male,751,9.5,Arts,1,3,1,5,3,Entry,No
Male,787,8.5,Business,0,9,5,4,1,Senior,No
Female,494,7.0,Business,0,2,3,9,2,Mid,No
Female,143,9.5,Medicine,2,8,3,2,3,Entry,Yes
Female,582,8.5,Arts,0,6,3,2,0,Entry,No
Male,445,9.5,Medicine,3,3,1,3,2,Entry,Yes
Female,824,8.5,Medicine,2,8,1,10,2,Mid,Yes
Male,394,9.5,Computer Science,1,8,5,4,3,Senior,Yes
Male,512,7.0,Arts,1,6,4,10,5,Mid,Yes
Male,686,7.0,Computer Science,1,4,2,9,5,Mid,No
Male,848,7.0,Mathematics,0,8,4,5,0,Entry,No
Male,621,7.0,Computer Science,2,6,1,2,2,Executive,No
Male,715,9.5,Mathematics,1,8,2,3,3,Entry,Yes
Male,697,9.5,Law,2,2,3,8,0,Senior,No
Male,803,9.5,Computer Science,0,8,4,6,2,Entry,Yes
Female,328,9.5,Engineering,3,0,4,5,5,Entry,Yes
Female,604,9.5,Business,3,4,4,4,2,Entry,Yes
Male,259,8.5,Business,3,1,1,4,1,Entry,No
Female,834,8.5,Engineering,0,0,2,8,4,Entry,No
Male,437,8.5,Mathematics,1,2,3,6,0,Entry,No
Female,718,9.5,Mathematics,0,6,1,5,3,Mid,Yes
Male,564,7.0,Medicine,2,2,3,5,1,Mid,No
Male,349,7.0,Arts,3,9,0,6,2,Entry,Yes
Female,693,9.5,Arts,2,9,0,3,3,Entry,Yes
Female,950,9.5,Arts,0,8,3,7,1,Mid,Yes
Female,815,9.5,Computer Science,4,2,0,1,1,Mid,Yes
Female,515,9.5,Arts,4,5,2,5,5,Mid,Yes
Female,449,9.5,Arts,0,1,2,6,5,Executive,No
Male,399,8.5,Mathematics,1,7,1,2,4,Entry,No
Male,596,9.5,Arts,2,9,3,2,5,Entry,Yes
Male,214,9.5,Business,0,4,1,9,1,Mid,Yes
Male,546,7.0,Engineering,0,1,2,2,0,Senior,No
Female,562,8.5,Law,4,6,2,3,4,Mid,Yes
Female,289,7.0,Mathematics,3,2,2,1,4,Mid,No
Male,841,8.5,Medicine,3,4,4,9,2,Mid,Yes
Female,259,9.5,Engineering,1,8,0,1,2,Entry,Yes
Female,258,8.5,Arts,1,0,1,4,0,Entry,No
Male,388,8.5,Medicine,1,1,1,7,3,Entry,No
Male,784,9.5,Medicine,4,4,2,2,5,Entry,Yes
Male,694,9.5,Engineering,0,3,4,8,5,Entry,No
Male,545,9.5,Engineering,1,0,1,8,0,Senior,No
Male,265,9.5,Engineering,4,6,5,3,4,Entry,Yes
Female,313,8.5,Mathematics,2,8,1,4,2,Entry,No
Male,40,9.5,Mathematics,0,0,4,7,0,Entry,No
Male,998,7.0,Law,2,7,2,5,2,Mid,No
Other,820,7.0,Engineering,3,8,4,5,0,Mid,Yes
Female,210,8.5,Law,3,1,0,2,5,Mid,No
Female,272,8.5,Computer Science,0,0,1,6,0,Entry,No
Male,136,9.5,Business,1,5,0,4,1,Mid,No
Male,599,9.5,Law,0,6,1,5,0,Mid,Yes
Female,60,9.5,Business,1,1,0,5,2,Mid,No
Male,510,8.5,Arts,3,4,1,2,0,Entry,No
Male,676,9.5,Computer Science,0,4,5,8,3,Entry,No
Female,515,9.5,Medicine,0,6,2,1,5,Senior,Yes
Female,15,8.5,Engineering,1,0,5,2,5,Mid,No
Male,614,9.5,Arts,3,9,3,7,1,Senior,Yes
Female,255,7.0,Medicine,3,7,4,7,0,Entry,Yes
Male,737,7.0,Mathematics,1,4,1,2,3,Entry,No
Male,722,9.5,Business,1,2,4,1,2,Entry,No
Male,535,9.5,Medicine,1,8,1,10,3,Entry,Yes
Male,235,8.5,Engineering,3,2,3,1,5,Mid,No
Male,131,9.5,Engineering,3,6,2,1,1,Mid,Yes
Female,670,9.5,Law,0,9,2,6,2,Entry,Yes
Female,685,9.5,Law,3,6,4,10,0,Entry,Yes
Female,17,8.5,Mathematics,2,9,5,7,0,Entry,No
Male,882,7.0,Business,2,7,3,2,3,Senior,No
Male,954,8.5,Engineering,1,9,4,6,0,Entry,No
Male,826,9.5,Computer Science,1,7,2,4,2,Entry,Yes
Male,992,8.5,Arts,1,3,0,9,5,Entry,No
Male,878,8.5,Business,0,0,4,8,2,Mid,No
Female,185,9.5,Business,2,3,1,8,0,Senior,No
Female,391,9.5,Medicine,2,5,2,2,3,Entry,No
Female,423,9.5,Business,3,9,1,5,0,Entry,Yes
Male,846,9.5,Mathematics,2,5,3,2,5,Entry,No
Female,442,8.5,Arts,3,5,5,3,4,Entry,No
Male,696,7.0,Computer Science,0,6,5,8,0,Entry,No
Male,655,9.5,Medicine,1,0,2,5,1,Entry,No
Male,556,9.5,Arts,1,9,2,4,0,Senior,Yes
Female,12,9.5,Law,3,0,5,5,5,Senior,Yes
Other,520,9.5,Business,4,6,4,8,4,Senior,Yes
Male,80,9.5,Mathematics,3,3,5,10,1,Mid,Yes
Female,809,9.5,Engineering,0,5,5,7,3,Entry,No
Female,674,9.5,Law,2,5,4,6,1,Entry,No
Male,302,9.5,Engineering,3,8,1,2,2,Mid,Yes
Male,216,7.0,Arts,0,1,4,10,5,Mid,No
Male,248,8.5,Computer Science,1,3,0,5,4,Mid,No
Other,541,9.5,Engineering,4,3,2,10,2,Mid,Yes
Male,272,8.5,Mathematics,4,6,5,9,2,Senior,Yes
Female,133,9.5,Arts,3,0,3,9,1,Mid,Yes
Male,5,7.0,Medicine,2,4,2,9,1,Entry,No
Female,756,8.5,Business,3,3,5,3,2,Entry,No
Male,542,8.5,Computer Science,4,1,1,9,5,Entry,Yes
Female,629,7.0,Mathematics,4,4,5,9,3,Mid,Yes
Female,690,7.0,Mathematics,1,8,4,5,0,Entry,No
Female,773,7.0,Computer Science,2,7,2,6,0,Entry,No
Female,747,9.5,Medicine,2,8,4,7,4,Executive,Yes
Male,141,7.0,Computer Science,4,6,5,10,1,Entry,Yes
Female,483,8.5,Arts,4,9,1,10,0,Entry,Yes
Male,305,7.0,Computer Science,3,6,4,10,3,Entry,Yes
Male,345,9.5,Computer Science,3,1,3,6,4,Senior,Yes
Female,562,9.5,Computer Science,1,2,5,5,5,Senior,No
Male,270,9.5,Arts,4,9,1,1,1,Mid,Yes
Female,108,8.5,Law,3,7,2,4,0,Mid,Yes
Other,558,7.0,Business,1,1,2,8,2,Executive,No
Male,474,9.5,Engineering,2,6,3,8,3,Entry,Yes
Female,82,9.5,Law,4,5,0,6,3,Entry,Yes
Male,638,7.0,Computer Science,0,9,4,3,1,Entry,No
Male,84,8.5,Medicine,4,3,5,8,5,Entry,No
Male,290,8.5,Mathematics,3,3,2,7,3,Entry,No
Female,71,7.0,Medicine,4,2,5,9,1,Senior,Yes
Female,175,9.5,Arts,0,5,3,3,3,Entry,No
Female,828,9.5,Business,4,2,4,6,0,Senior,Yes
Other,842,7.0,Computer Science,3,8,1,1,5,Mid,Yes
Male,463,8.5,Arts,2,3,5,8,1,Entry,No
Male,849,9.5,Engineering,3,3,3,2,3,Executive,Yes
Female,395,9.5,Business,1,1,1,5,0,Mid,No
Female,866,9.5,Business,3,1,1,6,5,Mid,Yes
Male,91,8.5,Arts,1,6,1,4,0,Entry,No
Male,469,9.5,Law,4,4,4,9,0,Mid,Yes
Female,863,8.5,Mathematics,1,2,0,3,5,Entry,No
Female,434,7.0,Medicine,4,5,5,2,1,Entry,No
Male,249,8.5,Law,1,5,1,3,1,Entry,No
Male,644,9.5,Business,3,0,2,5,3,Entry,Yes
Female,681,8.5,Medicine,0,2,4,1,5,Mid,No
Female,955,9.5,Business,4,4,4,10,5,Mid,Yes
Male,572,7.0,Mathematics,1,6,1,4,5,Entry,No
Female,881,8.5,Business,0,3,2,1,2,Mid,No
Male,849,7.0,Business,1,7,3,9,2,Entry,Yes
Male,241,8.5,Engineering,1,2,4,3,4,Entry,No
Female,702,7.0,Medicine,1,5,1,2,2,Entry,No
Female,496,8.5,Engineering,3,5,5,5,5,Mid,No
Male,340,8.5,Medicine,1,8,1,1,2,Mid,No
Female,793,8.5,Mathematics,0,3,5,10,3,Entry,No
Female,744,9.5,Mathematics,1,6,5,7,1,Entry,Yes
Female,471,8.5,Engineering,2,9,0,9,2,Entry,Yes
Female,463,9.5,Engineering,4,0,0,1,4,Mid,Yes
Female,801,9.5,Engineering,3,0,3,8,3,Senior,Yes
Female,275,8.5,Mathematics,2,1,3,8,0,Mid,No
Male,825,9.5,Mathematics,2,3,5,7,0,Entry,No
Male,15,9.5,Arts,0,5,3,10,4,Mid,Yes
Male,41,8.5,Engineering,0,3,3,4,1,Executive,No
Female,965,9.5,Law,3,5,1,7,5,Senior,Yes
Female,208,9.5,Law,3,1,1,2,0,Executive,Yes
Male,60,9.5,Business,4,8,1,6,1,Mid,Yes
Male,365,9.5,Computer Science,1,2,2,5,2,Entry,No
Female,240,8.5,Engineering,3,6,5,5,2,Senior,Yes
Male,608,8.5,Computer Science,3,0,3,8,2,Senior,No
Female,790,9.5,Computer Science,1,7,2,1,0,Entry,Yes
Male,939,9.5,Business,4,3,4,8,0,Mid,Yes
Female,160,9.5,Computer Science,0,4,5,4,1,Senior,No
Female,397,9.5,Mathematics,4,6,4,10,1,Senior,Yes
Male,934,8.5,Computer Science,1,2,1,6,5,Mid,No
Male,794,8.5,Mathematics,0,8,4,6,4,Mid,No
Male,500,9.5,Mathematics,0,8,1,1,5,Mid,Yes
Female,209,9.5,Law,0,7,5,8,2,Mid,Yes
Female,133,9.5,Mathematics,4,0,5,4,3,Entry,Yes
Male,381,9.5,Computer Science,1,1,3,9,3,Entry,Yes
Female,433,8.5,Medicine,4,1,2,7,2,Mid,No
Female,609,9.5,Engineering,4,2,1,4,4,Entry,Yes
Male,731,9.5,Engineering,2,1,0,1,5,Mid,No
Male,389,9.5,Computer Science,3,0,0,9,1,Entry,Yes
Female,997,8.5,Business,4,4,3,10,0,Mid,Yes
Female,583,8.5,Medicine,2,5,2,6,4,Mid,No
Female,432,9.5,Business,1,6,1,6,4,Senior,Yes
Female,274,7.0,Business,2,9,3,1,2,Mid,No
Female,351,9.5,Computer Science,4,6,2,5,1,Mid,Yes
Male,134,7.0,Arts,1,1,0,4,3,Entry,No
Female,66,8.5,Computer Science,2,6,1,1,3,Entry,No
Female,639,9.5,Law,4,1,2,7,5,Entry,Yes
Female,205,8.5,Arts,1,1,4,4,5,Senior,No
Male,298,9.5,Mathematics,1,5,1,3,3,Mid,No
Male,117,8.5,Medicine,3,5,4,2,4,Entry,No
Male,948,9.5,Arts,4,7,5,8,5,Mid,Yes
Male,267,7.0,Computer Science,3,4,5,5,0,Entry,No
Male,794,7.0,Computer Science,1,4,5,10,1,Entry,No
Female,149,9.5,Business,1,9,3,9,0,Entry,Yes
Female,194,9.5,Computer Science,2,0,2,5,3,Entry,No
Male,680,7.0,Mathematics,3,3,5,10,0,Entry,Yes
Female,824,9.5,Law,0,0,2,1,4,Executive,No
Male,886,9.5,Computer Science,4,9,2,10,2,Mid,Yes
Male,179,9.5,Engineering,3,4,2,5,0,Mid,Yes
Male,148,9.5,Engineering,1,7,1,5,5,Mid,Yes
Female,465,8.5,Business,2,0,4,8,0,Entry,No
Male,976,8.5,Arts,4,2,4,6,0,Executive,No
Male,569,8.5,Arts,4,0,3,5,5,Executive,No
Male,5,9.5,Engineering,2,5,5,8,3,Mid,No
Female,526,8.5,Law,1,9,3,1,0,Entry,No
Male,280,7.0,Medicine,0,0,2,5,1,Senior,No
Female,499,8.5,Mathematics,2,9,0,3,4,Entry,No
Female,836,7.0,Mathematics,0,2,0,5,1,Mid,No
Female,436,9.5,Mathematics,3,4,2,3,1,Entry,Yes
Female,816,9.5,Law,4,4,5,4,3,Entry,Yes
Male,216,9.5,Engineering,1,1,4,9,0,Senior,Yes
Male,687,9.5,Mathematics,0,2,3,2,4,Executive,No
Female,828,9.5,Law,1,8,1,10,4,Senior,Yes
Male,969,9.5,Medicine,3,0,0,1,4,Entry,Yes
Female,515,8.5,Arts,0,0,3,4,0,Entry,No
Female,887,7.0,Engineering,1,1,0,8,4,Executive,No
Female,137,8.5,Computer Science,1,7,4,5,4,Entry,No
Female,978,8.5,Mathematics,3,5,4,9,2,Mid,Yes
Other,612,9.5,Medicine,2,3,2,10,2,Entry,Yes
Female,595,9.5,Medicine,3,6,2,3,4,Entry,Yes
Male,280,8.5,Medicine,0,5,0,9,5,Senior,No
Female,132,9.5,Arts,0,8,0,1,1,Entry,Yes
Male,393,9.5,Law,4,5,3,2,5,Mid,Yes
Male,481,7.0,Business,1,1,2,9,0,Entry,No
Female,513,9.5,Mathematics,0,2,4,9,1,Entry,Yes
Male,628,9.5,Computer Science,2,8,5,10,1,Entry,Yes
Male,419,9.5,Mathematics,2,6,3,5,0,Mid,Yes
Male,202,9.5,Engineering,3,5,3,10,0,Executive,Yes
Female,652,8.5,Law,0,4,1,4,3,Senior,No
Female,658,7.0,Medicine,0,2,5,9,3,Mid,No
Female,462,8.5,Mathematics,4,3,4,10,3,Mid,Yes
Male,778,9.5,Arts,4,0,3,2,4,Senior,Yes
Female,202,8.5,Medicine,4,4,5,3,5,Entry,No
Female,914,7.0,Law,0,6,1,8,4,Mid,No
Male,152,9.5,Engineering,3,1,5,1,4,Senior,Yes
Male,897,9.5,Computer Science,3,7,2,2,5,Mid,Yes
Male,222,9.5,Medicine,3,9,4,5,3,Entry,Yes
Other,79,7.0,Mathematics,3,5,2,7,5,Mid,No
Female,200,7.0,Mathematics,2,9,1,10,0,Entry,Yes
Female,762,7.0,Arts,0,2,4,9,4,Senior,No
Male,99,9.5,Arts,1,1,0,3,0,Mid,No
Female,978,7.0,Business,0,7,0,4,5,Senior,No
Female,912,9.5,Arts,3,3,0,10,3,Entry,Yes
Female,213,9.5,Business,2,6,5,1,0,Executive,Yes
Other,143,8.5,Computer Science,2,6,3,1,4,Mid,No
Male,702,8.5,Engineering,0,9,5,1,0,Senior,No
Male,389,9.5,Business,1,8,5,4,3,Mid,Yes
Female,813,9.5,Medicine,3,9,5,9,4,Entry,Yes
Female,374,9.5,Law,2,7,5,8,4,Entry,Yes
Female,52,7.0,Mathematics,3,7,0,4,3,Entry,Yes
Male,967,7.0,Medicine,3,6,3,8,1,Mid,Yes
Female,624,9.5,Mathematics,3,9,3,7,2,Entry,Yes
Male,135,9.5,Engineering,4,4,1,6,3,Mid,Yes
Male,411,7.0,Arts,3,8,0,10,5,Mid,Yes
Female,985,9.5,Law,3,6,4,2,0,Entry,Yes
Female,470,9.5,Medicine,1,2,5,3,1,Entry,No
Male,112,7.0,Law,1,5,3,4,3,Entry,No
Male,525,9.5,Business,4,2,1,7,2,Senior,Yes
Male,785,7.0,Engineering,4,5,3,8,4,Entry,No
Male,745,9.5,Medicine,3,7,4,8,5,Entry,Yes
Female,44,9.5,Arts,2,8,4,4,2,Mid,Yes
Female,397,8.5,Law,2,1,0,9,2,Mid,No
Male,986,9.5,Arts,0,5,3,8,5,Entry,No
Female,585,9.5,Law,2,2,4,5,3,Entry,No
Female,261,9.5,Medicine,2,6,2,3,4,Entry,Yes
Female,743,8.5,Engineering,1,3,4,2,4,Entry,No
Male,545,9.5,Computer Science,0,4,4,9,2,Entry,Yes
Female,388,9.5,Medicine,0,9,3,1,3,Entry,Yes
Male,476,9.5,Arts,1,5,5,7,4,Entry,No
Male,410,9.5,Computer Science,2,7,4,7,4,Entry,Yes
Male,580,7.0,Engineering,2,1,1,1,0,Mid,No
Female,16,8.5,Arts,0,3,5,7,2,Mid,No
Male,997,9.5,Engineering,2,3,4,1,1,Senior,No
Male,662,7.0,Law,0,5,2,2,2,Senior,No
Male,804,9.5,Medicine,2,3,4,9,3,Senior,Yes
Female,102,9.5,Engineering,3,4,0,8,5,Entry,Yes
Female,186,8.5,Arts,1,4,3,9,5,Entry,No
Male,951,9.5,Medicine,4,7,2,9,4,Mid,Yes
Female,931,8.5,Mathematics,3,3,1,4,4,Senior,No
Female,25,9.5,Arts,2,5,4,5,0,Mid,No
Female,72,7.0,Arts,4,6,4,10,4,Entry,Yes
Male,593,8.5,Mathematics,3,7,1,7,4,Mid,Yes
Female,573,7.0,Mathematics,1,8,4,6,5,Entry,No
Female,18,9.5,Computer Science,4,9,0,9,1,Senior,Yes
Female,754,8.5,Business,4,7,5,2,2,Mid,Yes
Male,570,8.5,Engineering,1,3,5,8,4,Mid,No
Female,332,8.5,Engineering,3,3,2,2,3,Entry,No
Female,889,7.0,Computer Science,4,9,4,2,1,Mid,Yes
Female,569,9.5,Law,1,4,1,3,1,Mid,No
Male,97,7.0,Engineering,3,2,1,4,0,Mid,No
Male,727,9.5,Mathematics,2,1,2,6,3,Senior,No
Female,831,9.5,Computer Science,0,1,0,6,1,Mid,No
Female,12,9.5,Engineering,2,8,2,2,2,Mid,Yes
Male,11,8.5,Engineering,2,7,4,6,3,Senior,No
Female,909,9.5,Arts,0,5,5,8,2,Entry,No
Male,163,8.5,Computer Science,2,8,0,5,0,Entry,No
Female,283,9.5,Mathematics,2,4,0,1,0,Mid,No
Female,729,9.5,Law,1,9,1,8,4,Entry,Yes
Female,872,9.5,Engineering,1,0,0,6,2,Entry,No
Female,835,9.5,Law,3,7,4,2,5,Entry,Yes
Male,241,9.5,Business,4,2,4,7,2,Mid,Yes
Female,857,9.5,Computer Science,3,8,4,8,0,Entry,Yes
Male,45,7.0,Computer Science,1,0,5,2,5,Entry,No
Female,970,8.5,Computer Science,1,2,3,1,2,Entry,No
Female,593,8.5,Mathematics,0,0,0,6,3,Mid,No
Female,255,8.5,Mathematics,0,0,0,6,4,Entry,No
Male,67,9.5,Arts,1,5,4,8,4,Executive,No
Female,918,9.5,Computer Science,2,3,1,7,3,Mid,No
Male,614,7.0,Arts,3,9,5,8,1,Entry,Yes
Male,974,9.5,Mathematics,1,3,0,10,5,Mid,Yes
Female,603,8.5,Business,1,4,3,10,5,Entry,No
Male,42,9.5,Medicine,0,2,0,5,2,Senior,No
Female,788,9.5,Arts,3,1,2,2,1,Entry,Yes
Male,816,9.5,Engineering,3,9,3,5,1,Entry,Yes
Male,786,9.5,Computer Science,4,7,1,2,2,Mid,Yes
Female,384,7.0,Medicine,1,6,3,9,5,Entry,Yes
Female,589,9.5,Arts,4,9,3,5,0,Mid,Yes
Male,234,7.0,Law,0,3,0,1,2,Senior,No
Female,966,8.5,Mathematics,4,1,3,9,0,Mid,Yes
Female,714,9.5,Law,2,8,4,10,3,Entry,Yes
Female,485,7.0,Engineering,1,7,5,5,0,Senior,No
Male,733,9.5,Medicine,1,3,3,1,1,Entry,No
Female,774,9.5,Business,3,4,0,9,1,Mid,Yes
Female,39,8.5,Arts,4,9,4,9,1,Mid,Yes
Female,11,9.5,Law,3,5,1,10,5,Entry,Yes
Male,624,8.5,Law,4,3,2,10,5,Mid,Yes
Female,409,9.5,Arts,4,1,3,9,0,Mid,Yes
Female,108,9.5,Law,0,4,4,6,1,Senior,No
Female,94,8.5,Business,4,0,4,10,4,Entry,Yes
Male,823,8.5,Law,3,6,1,10,2,Entry,Yes
Female,84,8.5,Arts,4,8,1,2,1,Entry,Yes
Female,58,9.5,Computer Science,4,2,2,7,5,Mid,Yes
Male,293,7.0,Law,1,5,2,2,0,Mid,No
Male,16,7.0,Arts,1,8,0,4,1,Entry,No
Female,991,9.5,Computer Science,1,3,2,4,0,Entry,No
Male,477,9.5,Law,2,5,2,10,2,Entry,Yes
Other,838,9.5,Law,1,2,4,7,0,Mid,No
Female,605,9.5,Arts,2,8,3,6,2,Senior,Yes
Female,992,9.5,Engineering,2,6,3,10,1,Entry,Yes
Male,969,9.5,Engineering,3,6,5,7,5,Mid,Yes
Male,165,7.0,Medicine,1,3,2,6,4,Mid,No
Female,437,9.5,Engineering,4,5,5,1,1,Entry,Yes
Male,727,7.0,Business,0,7,5,4,2,Mid,No
Female,656,8.5,Medicine,4,5,0,3,5,Mid,No
Male,786,9.5,Engineering,1,5,0,7,3,Entry,No
Male,403,8.5,Computer Science,4,3,3,7,3,Senior,No
Male,940,9.5,Mathematics,1,7,1,4,3,Mid,Yes
Female,386,8.5,Arts,1,9,4,7,1,Entry,No
Other,954,8.5,Engineering,4,7,2,4,0,Executive,Yes
Male,138,9.5,Computer Science,2,8,4,9,4,Entry,Yes
Male,716,9.5,Mathematics,3,5,2,3,5,Mid,Yes
Male,814,9.5,Medicine,3,1,2,10,4,Mid,Yes
Female,722,9.5,Arts,3,3,5,2,5,Mid,Yes
Male,531,7.0,Engineering,3,3,3,5,1,Mid,No
Female,806,9.5,Medicine,0,7,4,9,2,Entry,Yes
Female,293,7.0,Engineering,1,4,4,3,1,Entry,No
Female,475,9.5,Medicine,0,3,1,1,3,Mid,No
Male,880,8.5,Engineering,3,7,1,9,2,Mid,Yes
Other,462,9.5,Mathematics,3,2,4,5,4,Executive,Yes
Male,813,9.5,Computer Science,4,1,1,2,1,Mid,Yes
Male,373,7.0,Business,3,3,1,6,0,Entry,No
Female,162,9.5,Mathematics,1,0,2,3,0,Entry,No
Female,642,7.0,Computer Science,3,0,3,9,4,Mid,Yes
Male,44,7.0,Arts,3,4,2,3,2,Senior,No
Male,865,9.5,Engineering,0,0,5,2,3,Mid,No
Female,83,7.0,Business,1,3,1,3,0,Entry,No
Male,892,7.0,Mathematics,2,7,2,6,0,Senior,No
Female,636,9.5,Business,4,7,2,3,1,Entry,Yes
Female,539,9.5,Arts,2,1,0,9,5,Entry,Yes
Male,816,7.0,Arts,0,2,2,9,4,Mid,No
Male,862,9.5,Business,3,2,2,9,0,Entry,Yes
Male,519,9.5,Arts,4,0,3,2,1,Mid,Yes
Female,411,9.5,Arts,1,2,4,7,2,Entry,No
Female,341,9.5,Engineering,4,7,0,2,5,Entry,Yes
Male,711,9.5,Computer Science,0,5,0,1,0,Entry,No
Female,624,9.5,Law,3,4,0,5,4,Mid,Yes
Other,89,8.5,Medicine,0,9,5,8,1,Entry,No
Male,640,7.0,Business,1,8,0,3,2,Entry,No
Female,230,9.5,Medicine,2,6,3,7,1,Entry,Yes
Male,18,9.5,Business,3,5,4,6,3,Entry,Yes
Male,801,9.5,Business,3,4,5,1,4,Mid,Yes
Male,673,7.0,Computer Science,0,4,3,7,4,Entry,No
Male,864,8.5,Mathematics,0,9,0,3,5,Entry,No
Male,890,9.5,Mathematics,0,8,4,4,0,Mid,Yes
Male,281,9.5,Business,3,9,3,10,5,Entry,Yes
Female,910,9.5,Business,0,5,4,2,1,Senior,No
Female,422,9.5,Computer Science,4,3,5,1,2,Mid,Yes
Female,678,7.0,Arts,4,3,3,5,0,Entry,No
Male,772,9.5,Mathematics,4,3,4,6,4,Entry,Yes
Male,876,9.5,Law,3,5,3,2,1,Senior,Yes
Male,702,7.0,Medicine,0,0,0,10,2,Mid,No
Female,338,8.5,Business,1,8,0,6,5,Mid,No
Female,266,9.5,Computer Science,0,1,0,6,4,Mid,No
Male,803,9.5,Business,3,1,5,8,2,Entry,Yes
Male,355,8.5,Mathematics,4,4,3,8,5,Entry,No
Female,360,7.0,Computer Science,3,3,4,6,1,Entry,No
Male,791,7.0,Medicine,0,2,4,7,2,Mid,No
Male,217,8.5,Engineering,3,4,1,4,0,Senior,No
Female,321,9.5,Mathematics,1,6,2,5,0,Entry,Yes
Female,850,9.5,Arts,3,9,0,6,1,Mid,Yes
Male,719,9.5,Engineering,2,1,0,6,5,Executive,No
Male,665,9.5,Computer Science,3,5,0,3,4,Entry,Yes
Other,992,7.0,Business,0,3,1,9,3,Entry,No
Male,693,7.0,Arts,2,1,1,4,3,Entry,No
Male,212,8.5,Mathematics,4,0,1,8,3,Entry,No
Male,785,7.0,Medicine,0,7,0,4,4,Mid,No
Male,953,7.0,Mathematics,1,4,4,6,0,Entry,No
Male,203,9.5,Law,3,9,0,1,0,Entry,Yes
Female,717,9.5,Arts,3,1,1,2,5,Mid,Yes
Male,985,9.5,Business,0,7,1,6,5,Mid,Yes
Male,916,9.5,Engineering,3,2,2,3,0,Senior,Yes
Female,896,9.5,Computer Science,3,6,3,7,5,Senior,Yes
Female,153,9.5,Engineering,4,1,2,1,1,Senior,Yes
Female,682,8.5,Mathematics,3,6,2,3,5,Entry,Yes
Female,429,9.5,Arts,3,3,0,3,0,Entry,Yes
Male,753,7.0,Law,4,9,3,1,5,Entry,Yes
Female,287,7.0,Business,3,0,3,4,0,Entry,No
Male,757,8.5,Computer Science,4,4,0,8,0,Entry,No
Other,321,9.5,Business,1,3,4,7,3,Mid,No
Female,436,9.5,Business,3,7,5,7,2,Mid,Yes
Other,592,9.5,Law,0,0,0,5,0,Entry,No
Female,496,9.5,Arts,2,1,4,4,2,Mid,No
Male,604,9.5,Engineering,1,4,4,10,5,Entry,Yes
Female,149,9.5,Business,3,9,3,6,0,Entry,Yes
Other,542,9.5,Mathematics,0,9,0,2,3,Entry,Yes
Female,635,9.5,Mathematics,2,1,0,1,3,Executive,No
Male,899,8.5,Business,4,0,3,7,5,Senior,No
Female,482,8.5,Business,3,5,2,4,5,Entry,No
Male,326,9.5,Computer Science,4,9,0,7,5,Senior,Yes
Male,939,7.0,Business,1,3,5,6,2,Entry,No
Male,29,9.5,Mathematics,2,4,5,9,3,Mid,Yes
Male,259,9.5,Business,2,2,1,10,1,Mid,Yes
Female,698,9.5,Arts,4,9,1,6,4,Mid,Yes
Male,929,8.5,Mathematics,4,5,0,3,4,Entry,No
Female,75,9.5,Business,1,3,4,7,5,Entry,No
Male,557,8.5,Law,0,5,5,9,0,Entry,No
Male,581,9.5,Law,3,4,5,10,3,Mid,Yes
Male,498,9.5,Mathematics,0,1,3,6,4,Mid,No
Male,416,9.5,Business,2,3,5,7,2,Mid,No
Male,879,9.5,Law,3,1,4,8,2,Entry,Yes
Male,722,8.5,Arts,1,4,1,4,5,Executive,No
Female,751,9.5,Computer Science,0,2,1,5,2,Executive,No
Male,340,8.5,Law,0,5,3,4,0,Entry,No
Male,308,8.5,Mathematics,3,4,1,1,4,Entry,No
Male,704,7.0,Law,1,1,2,6,4,Mid,No
Female,884,9.5,Engineering,1,9,1,7,4,Entry,Yes
Female,615,8.5,Arts,0,7,5,2,2,Entry,No
Female,241,8.5,Law,0,5,4,6,5,Entry,No
Male,253,9.5,Computer Science,4,8,4,2,2,Mid,Yes
Male,936,9.5,Engineering,3,2,2,10,0,Entry,Yes
Female,220,7.0,Mathematics,1,3,4,5,5,Entry,No
Male,397,9.5,Mathematics,2,7,4,1,1,Mid,Yes
Male,986,9.5,Business,3,6,4,3,4,Executive,Yes
Male,336,7.0,Arts,4,7,0,4,0,Mid,Yes
Male,729,9.5,Law,3,8,2,4,2,Entry,Yes
Male,714,9.5,Business,0,7,2,2,1,Entry,Yes
Female,29,9.5,Arts,3,7,1,8,3,Entry,Yes
Male,494,8.5,Mathematics,3,5,5,6,1,Mid,No
Female,959,9.5,Engineering,3,1,2,9,0,Entry,Yes
Male,998,7.0,Law,2,6,3,6,1,Mid,No
Male,724,9.5,Mathematics,4,3,2,3,2,Senior,Yes
Female,502,7.0,Computer Science,3,2,3,2,1,Entry,No
Male,154,8.5,Arts,3,3,4,9,2,Mid,Yes
Female,992,7.0,Mathematics,2,3,5,3,1,Mid,No
Female,231,9.5,Mathematics,1,2,3,6,0,Senior,No
Male,102,8.5,Computer Science,3,8,5,10,3,Executive,Yes
Female,827,8.5,Business,3,2,5,2,4,Entry,No
Male,177,8.5,Mathematics,1,1,0,7,1,Entry,No
Female,693,9.5,Business,3,0,5,1,3,Entry,Yes
Male,984,8.5,Engineering,3,0,4,9,1,Entry,Yes
Female,927,9.5,Engineering,3,4,3,1,5,Entry,Yes
